MEDICINA I SANITAT| 552
ESPORTS| 491
POLÍTICA| 198
SOCIETAT| 172
ECONOMIA, COMERÇ I FINANCES| 147
TURISME| 100
JUSTÍCIA I ORDRE  PÚBLIC| 98
TRANSPORTS I COMUNICACIONS| 67
TREBALL| 56
ENSENYAMENT| 49
CULTURA| 41
FESTES I TRADICIONS| 41
MÚSICA| 32
MEDI AMBIENT| 31
MITJANS DE COMUNICACIÓ| 28
CIÈNCIA I INVESTIGACIÓ| 26
ACCIDENTS I CATÀSTROFES| 23
INDÚSTRIA| 19
URBANISME I HABITATGE| 17
AGRICULTURA, RAMADERIA I PESCA| 17
ARTS| 12
CINEMA| 10
OBRES PÚBLIQUES I INFRAESTRUCTURES| 8
RELIGIÓ| 8
FENÒMENS NATURALS| 7
ESPECTACLES| 7
GASTRONOMIA| 6
RELACIONS INTERNACIONALS| 5
TERRORISME| 4
DEFENSA| 3
ENERGIA| 3
HISTÒRIA| 2
MISCEL·LÀNIA| 1
LITERATURA| 1
